step,price,value,order_ftrader_sum,order_ttrader_sum,order_mtrader_sum,order_ntrader_sum,order_all_sum,order_ftrader_mean,order_ttrader_mean,order_mtrader_mean,order_ntrader_mean,order_all_mean,order_ftrader_median,order_ttrader_median,order_mtrader_median,order_ntrader_median,order_all_median,order_ftrader_std,order_ttrader_std,order_mtrader_std,order_ntrader_std,order_all_std,position_ftrader_sum,position_ttrader_sum,position_mtrader_sum,position_ntrader_sum,position_all_sum,position_ftrader_mean,position_ttrader_mean,position_mtrader_mean,position_ntrader_mean,position_all_mean,position_ftrader_median,position_ttrader_median,position_mtrader_median,position_ntrader_median,position_all_median,position_ftrader_std,position_ttrader_std,position_mtrader_std,position_ntrader_std,position_all_std,wealth_ftrader_sum,wealth_ttrader_sum,wealth_mtrader_sum,wealth_ntrader_sum,wealth_all_sum,wealth_ftrader_mean,wealth_ttrader_mean,wealth_mtrader_mean,wealth_ntrader_mean,wealth_all_mean,wealth_ftrader_median,wealth_ttrader_median,wealth_mtrader_median,wealth_ntrader_median,wealth_all_median,wealth_ftrader_std,wealth_ttrader_std,wealth_mtrader_std,wealth_ntrader_std,wealth_all_std,cash_ftrader_sum,cash_ttrader_sum,cash_mtrader_sum,cash_ntrader_sum,cash_all_sum,cash_ftrader_mean,cash_ttrader_mean,cash_mtrader_mean,cash_ntrader_mean,cash_all_mean,cash_ftrader_median,cash_ttrader_median,cash_mtrader_median,cash_ntrader_median,cash_all_median,cash_ftrader_std,cash_ttrader_std,cash_mtrader_std,cash_ntrader_std,cash_all_std,portfolio_ftrader_sum,portfolio_ttrader_sum,portfolio_mtrader_sum,portfolio_ntrader_sum,portfolio_all_sum,portfolio_ftrader_mean,portfolio_ttrader_mean,portfolio_mtrader_mean,portfolio_ntrader_mean,portfolio_all_mean,portfolio_ftrader_median,portfolio_ttrader_median,portfolio_mtrader_median,portfolio_ntrader_median,portfolio_all_median,portfolio_ftrader_std,portfolio_ttrader_std,portfolio_mtrader_std,portfolio_ntrader_std,portfolio_all_std
1,100.0,100.1349775147487,145.71231012772563,0.0,0.0,405.77924916043804,551.4915592881637,0.756935887121838,0.0,0.0,0.2786657316660836,0.2707596008784423,0.0,0.0,0.0,0.0,0.0,0.11824211657255165,0.0,0.0,0.007530073676699521,0.005773558172311303,145.71231012772563,0.0,0.0,405.77924916043804,551.4915592881637,-0.756935887121838,0.0,0.0,0.2786657316660836,0.1193724234540747,0.0,0.0,0.0,0.0,0.0,0.11824211657255165,0.0,0.0,0.007530073676699521,0.005805517226934783,88831.46645178435,122260.84810656808,96811.34728973635,1244475.3350783521,1552378.9969264416,2220.786661294608,3056.521202664202,2420.2836822434087,4444.554768136975,3880.947492316105,1898.3833526908638,1554.6637436857236,1448.966419001873,1622.3266708198687,1577.8759760364667,50.36369647781121,109.0222084277319,107.66913261864406,58.42367101901381,34.638475934832144,91859.2100002717,122260.84810656808,96811.34728973635,1236672.6945917017,1547604.0999882799,2296.480250006792,3056.521202664202,2420.2836822434087,4416.6881949703675,3869.0102499706973,1702.9867782227475,1554.6637436857236,1448.966419001873,1633.3552341228342,1615.0981866534134,47.36323378633014,109.0222084277319,107.66913261864406,58.30145061122434,34.55951699610825,-3027.743548487353,0.0,0.0,7802.640486650345,4774.89693816299,-75.6935887121838,0.0,0.0,27.866573166608358,11.937242345407471,0.0,0.0,0.0,0.0,0.0,11.824211657255166,0.0,0.0,0.7530073676699521,0.5805517226934783
2,99.7590829539395,100.18681127105471,145.71231012772563,0.0,0.0,309.37489825672463,455.0872083844502,-0.756935887121838,0.0,0.0,-0.09794574690264715,-0.1442556115440368,0.0,0.0,0.0,0.0,0.0,0.11824211657255165,0.0,0.0,0.006590579434589419,0.005368330295002306,138.770654737832,0.0,0.0,600.3782783178311,739.1489330556628,-0.45165664130956495,0.0,0.0,0.18071998476343643,0.08133832520344901,0.0,0.0,0.0,0.0,0.0,0.11655199986965262,0.0,0.0,0.010008123354018192,0.006915663960663562,93077.38510455581,122260.84810656808,96811.34728973635,1244456.5371873775,1556606.117688239,2326.934627613895,3056.521202664202,2420.2836822434087,4444.4876328120645,3891.5152942205955,1732.1913298008608,1554.6637436857236,1448.966419001873,1621.992102161522,1577.5466045635985,47.069868587159526,109.0222084277319,107.66913261864406,58.42336521369395,34.63066963443568,94879.65919843974,122260.84810656808,96811.34728973635,1239408.5684009716,1553360.422995717,2371.9914799609933,3056.521202664202,2420.2836822434087,4426.459172860614,3883.4010574892905,1689.6081204824925,1554.6637436857236,1448.966419001873,1645.3807316610655,1631.6872899163068,47.216211404063415,109.0222084277319,107.66913261864406,58.28999045914756,34.551261165117324,-1802.2740938839434,0.0,0.0,5047.968786406095,3245.6946925221505,-45.056852347098584,0.0,0.0,18.028459951450337,8.114236731305379,0.0,0.0,0.0,0.0,0.0,11.627120623444219,0.0,0.0,0.9984012078867601,0.6899002947334061
3,100.29065659642204,100.2000639300092,12.211169832490924,0.0,0.0,419.59791277650385,431.8090826089947,0.3052792458122731,0.0,0.0,0.29249618134861793,0.23527525152525985,0.29275080236651263,0.0,0.0,0.0,0.0,0.02010184109063463,0.0,0.0,0.00761817011293948,0.004512971314245214,153.80883234468297,0.0,0.0,770.9127085050302,924.7215408497136,-1.0349394748920617,0.0,0.0,0.4732161661120543,0.22775736878923186,0.0,0.0,0.0,0.0,0.0,0.11856127575264822,0.0,0.0,0.012330585358907383,0.008195292084300832,89503.20257914953,122260.84810656808,96811.34728973635,1244483.4356619373,1553058.8336373924,2237.5800644787387,3056.521202664202,2420.2836822434087,4444.583698792634,3882.647084093479,1659.596795309721,1554.6637436857236,1448.966419001873,1621.8245739783702,1577.6120836213508,46.37080827770464,109.0222084277319,107.66913261864406,58.424120794440235,34.63278575475617,93654.9929581288,122260.84810656808,96811.34728973635,1231194.8708587408,1543922.0592131724,2341.37482395322,3056.521202664202,2420.2836822434087,4397.124538781215,3859.8051480329336,1660.2479502940255,1554.6637436857236,1448.966419001873,1696.9903364589763,1640.4620153189742,47.511217079764315,109.0222084277319,107.66913261864406,58.32527402259913,34.57088190850353,-4151.7903789792435,0.0,0.0,13288.564803197443,9136.774424218203,-103.7947594744811,0.0,0.0,47.45916001141945,22.841936060545503,0.0,0.0,0.0,0.0,0.0,11.890588192142541,0.0,0.0,1.2366425018630496,0.8219112241339905
4,100.73401060171325,100.32042962420083,23.33131334329987,0.0,0.0,477.1276591443605,500.45897248766045,-0.5832828335824967,0.0,0.0,0.8475863692022358,0.5349821750833154,-0.5183209835280564,0.0,0.0,0.0,0.0,0.03034312075146194,0.0,0.0,0.007543986028585229,0.0046872678376791,161.52144232229097,0.0,0.0,980.7094276588335,1142.2308699811254,-1.356950048772093,0.0,0.0,1.3208025353142903,0.7888667698427938,-1.33172355926893,0.0,0.0,1.1378505520424802,0.0,0.11863173744561104,0.0,0.0,0.014843897778490295,0.00970349655387343,90537.60889984455,122260.84810656808,96811.34728973635,1244542.1803010693,1554151.9845972178,2263.440222496113,3056.521202664202,2420.2836822434087,4444.793501075249,3885.3799614930467,1676.9470034838776,1554.6637436857236,1448.966419001873,1620.8430850355828,1567.1449861572069,47.44848571878618,109.0222084277319,107.66913261864406,58.42461550655307,34.633749118205365,96005.24972380468,122260.84810656808,96811.34728973635,1207288.2540544358,1522365.6991745436,2400.1312430951166,3056.521202664202,2420.2836822434087,4311.743764480129,3805.914247936363,1678.346238170183,1554.6637436857236,1448.966419001873,1635.1471226630924,1618.8223811185246,48.638353216238826,109.0222084277319,107.66913261864406,58.32910966255231,34.56742431688012,-5467.640823960133,0.0,0.0,37253.926246633426,31786.285422673314,-136.69102059900334,0.0,0.0,133.04973659511944,79.46571355668328,-134.1498551379477,0.0,0.0,114.62024957261248,0.0,11.950250697545844,0.0,0.0,1.4952853561891892,0.9774721247315741
5,100.34097193407617,100.48501364753031,12.880422955201254,0.0,0.0,426.7578692692965,439.63829222449783,-0.32201057388003135,0.0,0.0,-0.2962656160033149,-0.23958698859032357,-0.3229883110995786,0.0,0.0,0.0,0.0,0.016472074542208077,0.0,0.0,0.007705160176509631,0.004549434135429622,153.19328313631456,0.0,0.0,1111.4110128489895,1264.6042959853048,-0.9256969927360575,0.0,0.0,1.0245369193109752,0.6246061442440769,0.0,0.0,0.0,0.706103741080822,0.0,0.11909944927642355,0.0,0.0,0.016779988664941677,0.010631798212964418,93582.27044334805,122260.84810656808,96811.34728973635,1244396.8248898361,1557051.2907294887,2339.556761083701,3056.521202664202,2420.2836822434087,4444.274374606557,3892.628226823721,1798.5366245759026,1554.6637436857236,1448.966419001873,1622.359809880606,1596.1254524358196,47.480312041661065,109.0222084277319,107.66913261864406,58.4241688021603,34.631310893315025,97297.68388205154,122260.84810656808,96811.34728973635,1215611.9764153527,1531981.8556937072,2432.4420970512883,3056.521202664202,2420.2836822434087,4341.47134434055,3829.9546392342745,1725.355325412449,1554.6637436857236,1448.966419001873,1708.9050280489034,1658.223223743946,48.59939490827206,109.0222084277319,107.66913261864406,58.399744177716414,34.60930570431309,-3715.4134387034983,0.0,0.0,28784.848474482067,25069.435035778573,-92.88533596758747,0.0,0.0,102.80303026600743,62.673587589446456,0.0,0.0,0.0,70.85113566633694,0.0,11.950554497209541,0.0,0.0,1.6837203716830291,1.0668049660958239
6,101.29427300706348,100.67153047349962,17.250122241441417,0.0,15.868388688917266,266.1753645108039,299.2938754411626,0.4312530560360354,0.0,-0.06152150718126196,0.05170323956480017,0.07316542258083747,0.5576226909665536,0.0,0.0,0.0,0.0,0.016826566244752404,0.0,0.04167767061008133,0.006106644071777893,0.003853412300719736,162.7764116585996,0.0,15.868388688917266,1170.318737949822,1348.9635382973386,-1.471988904600386,0.0,-0.06152150718126196,1.0762401588757755,0.600017070034878,-1.4363043372946436,0.0,0.0,0.890538384397197,0.0,0.11849054836020648,0.0,0.04167767061008133,0.01771280335710082,0.011274041524594863,89586.18345168338,122260.84810656808,96811.34728973635,1244670.2986902941,1553328.677538282,2239.654586292084,3056.521202664202,2420.2836822434087,4445.251066751051,3883.3216938457053,1635.036324948778,1554.6637436857236,1448.966419001873,1620.4300563599052,1568.5448205494445,47.26626139401734,109.0222084277319,107.66913261864406,58.42463348974351,34.63425106136327,95550.34529032177,122260.84810656808,97060.61834350535,1214145.548637482,1529017.3603778763,2388.7586322580437,3056.521202664202,2426.5154585876335,4336.234102276723,3822.5434009446944,1671.696406322929,1554.6637436857236,1448.966419001873,1678.0343646549059,1636.898765060081,48.53889820315606,109.0222084277319,107.87256013267924,58.403750765619264,34.61277930248146,-5964.1618386383925,0.0,-249.27105376899064,30524.750052811884,24311.3171604045,-149.10404596595984,0.0,-6.231776344224766,109.01696447432816,60.778292901011255,-145.489403663153,0.0,0.0,90.20643823239891,0.0,12.002413954355413,0.0,4.221709345076045,1.7942055389746012,1.141995840085282
7,100.2162547708446,100.43702994867401,21.85167647457314,0.0,27.981648444366915,259.47929699457313,309.3126219135132,-0.5462919118643285,0.0,-0.6440157542752369,0.12979039994453348,-0.0281774866527831,-0.7667842470180091,0.0,0.0,0.0,0.0,0.018496312335984113,0.0,0.05162918712702843,0.006014263234546898,0.003981088518163141,153.7298669902068,0.0,27.981648444366915,1253.4795120595456,1435.1910274941197,-0.9084182033332553,0.0,-0.6440157542752369,1.2060305588203089,0.688977995413367,0.0,0.0,0.0,1.4986568294714067,0.0,0.119594829686181,0.0,0.05162918712702843,0.018939987391957486,0.011986564311994474,94098.70766291893,122260.84810656808,97060.61834350535,1244345.4408653062,1557765.6149782964,2352.467691572973,3056.521202664202,2426.5154585876335,4444.090860233232,3894.4140374457434,1812.1226525415916,1554.6637436857236,1448.966419001873,1622.2879754405103,1595.7808384336201,47.63360098308528,109.0222084277319,107.87256013267924,58.424121207347696,34.63156787542159,97740.23846706764,122260.84810656808,99642.25221978074,1210503.5584569396,1530146.897250355,2443.505961676691,3056.521202664202,2491.0563054945183,4323.226994489072,3825.3672431258915,1735.5354555923118,1554.6637436857236,1482.5120401217864,1674.0958587488385,1661.5141192424758,48.66810385167109,109.0222084277319,107.86364523802368,58.34545200071041,34.57539757755588,-3641.530804148736,0.0,-2581.6338762753917,33841.88240836485,27618.717727940733,-91.03827010371842,0.0,-64.5408469068848,120.86386574416017,69.0467943198518,0.0,0.0,0.0,150.1897746363727,0.0,11.985345921106084,0.0,5.174083770733892,1.8980946018289955,1.201248582917952
8,99.96354936123606,100.774099078141,22.54282805068523,0.0,10.886719685889867,240.4909600170656,273.9205077536407,0.5635707012671307,0.0,-0.2636090842619662,-0.015039948514069514,0.019468197740667798,0.8435177113932752,0.0,0.0,0.0,0.0,0.018921464843288063,0.0,0.031320049581258544,0.005907535232750557,0.003675243855021144,157.48599934113122,0.0,10.886719685889867,1300.108996724428,1468.481715751449,-0.6009446372089282,0.0,-0.2636090842619662,1.1909906103062393,0.7472380550672781,-0.7196582120602386,0.0,0.0,1.5841767599785879,0.0,0.12162001992042304,0.0,0.031320049581258544,0.01958068183756625,0.012238268486625853,93083.87500628091,122260.84810656808,99642.25221978074,1244260.1051403221,1559247.080472951,2327.096875157023,3056.521202664202,2491.0563054945183,4443.786089786865,3898.1177011823797,1760.5648795275324,1554.6637436857236,1482.5120401217864,1621.641845129583,1595.0825718893354,47.88432920603846,109.0222084277319,107.86364523802368,58.42384541583177,34.63073405491465,95486.7773624811,122260.84810656808,100696.3042080484,1210924.523514929,1529368.453192026,2387.169434062028,3056.521202664202,2517.4076052012097,4324.730441124749,3823.4211329800683,1670.578324538361,1554.6637436857236,1493.7316330527535,1727.161205401204,1667.0547015548543,48.48045560434663,109.0222084277319,107.72574100950153,58.29728283235668,34.54777279154662,-2402.902356200191,0.0,-1054.0519882676517,33335.581625392624,29878.62728092478,-60.0725589050048,0.0,-26.351299706691293,119.05564866211643,74.6965682023119,-71.93958920450255,0.0,0.0,158.35993174304258,0.0,12.15756886462972,0.0,3.130863322312499,1.9573544553962128,1.223380755958883
9,100.23430071088997,100.43034163423864,19.597756711523758,0.0,16.924383812689165,266.47064317313846,302.9927836973514,0.307473566124327,0.0,0.24727329936691475,-0.2706299969082553,-0.13396631128665454,0.5897745390755205,0.0,0.0,0.0,0.0,0.01911061106233549,0.0,0.040784825077666495,0.006033925209101717,0.0038423695653258005,153.59979509029273,0.0,16.924383812689165,1376.9907251943916,1547.514904097373,-0.8843346679498836,0.0,0.24727329936691475,0.920360613397984,0.580546292520292,0.0,0.0,0.0,0.9863985604664505,0.0,0.11978549249676099,0.0,0.040784825077666495,0.020683218112303517,0.012820250033856721,90708.37476552479,122260.84810656808,100696.3042080484,1244350.3945885694,1558015.9216687111,2267.7093691381187,3056.521202664202,2517.4076052012097,4444.10855210203,3895.0398041717744,1684.6831924025496,1554.6637436857236,1493.7316330527535,1622.3341162369047,1610.3114614143624,46.8717103654275,109.0222084277319,107.72574100950153,58.42427688545103,34.63028659933906,94254.00144697892,122260.84810656808,99704.8935581877,1218519.9178925462,1534739.661004279,2356.3500361744723,3056.521202664202,2492.6223389546926,4351.856849616238,3836.8491525107033,1671.696406322929,1554.6637436857236,1485.2481975531555,1751.1902222928861,1669.9237438479126,48.06551278152863,109.0222084277319,107.93196882615105,58.33733249377369,34.574149435694345,-3545.6266814541464,0.0,991.41064986069,25830.47669602197,23276.260664428526,-88.64066703635366,0.0,24.785266246517253,92.25170248579269,58.190651661071236,0.0,0.0,0.0,98.87096993058319,0.0,12.006615075722394,0.0,4.08803842127587,2.073167903937557,1.2850287970823921
10,100.57046838733177,100.45354454017745,18.63441529618889,0.0,23.924230609760833,240.17355112131614,282.73219702726584,-0.28339003074095537,0.0,0.24150489278783407,0.21274723966833162,0.14473455397252,-0.30725439677812716,0.0,0.0,0.0,0.0,0.018721249350201048,0.0,0.05083415426612934,0.005710637257126604,0.0037677865253355662,163.05084072548686,0.0,23.924230609760833,1473.190802056644,1660.1658733918912,-1.111055097441526,0.0,0.24150489278783407,1.1331078530663157,0.7062204766810518,-1.1833949940898805,0.0,0.0,2.0670100338951563,0.0,0.12059613039167764,0.0,0.05083415426612934,0.0218281682348993,0.013539232333988967,90924.45490994253,122260.84810656808,99704.8935581877,1244437.0253254597,1557327.221900156,2273.111372748564,3056.521202664202,2492.6223389546926,4444.417947590925,3893.3180547503935,1692.6752237167195,1554.6637436857236,1485.2481975531555,1621.7320195795974,1610.7171069167548,47.55099522546683,109.0222084277319,107.93196882615105,58.42469203955269,34.63254514196148,95394.02817209561,122260.84810656808,98733.3631507675,1212529.0128209104,1528917.2522503417,2384.8507043023906,3056.521202664202,2468.3340787691877,4330.460760074682,3822.293130625855,1671.696406322929,1554.6637436857236,1485.2481975531555,1750.0722692704896,1674.276113058214,48.54990095490133,109.0222084277319,108.10452602073119,58.33136684453805,34.57034067653919,-4469.573262153073,0.0,971.5304074201925,31908.012504548115,28409.969649815226,-111.73933155382683,0.0,24.288260185504814,113.95718751624328,71.02492412453809,-119.014588842843,0.0,0.0,207.88016727015037,0.0,12.128409319190759,0.0,5.112414704618507,2.1952691034212997,1.3616469374341773
