step,price,value,order_ftrader_sum,order_ttrader_sum,order_mtrader_sum,order_ntrader_sum,order_all_sum,order_ftrader_mean,order_ttrader_mean,order_mtrader_mean,order_ntrader_mean,order_all_mean,order_ftrader_median,order_ttrader_median,order_mtrader_median,order_ntrader_median,order_all_median,order_ftrader_std,order_ttrader_std,order_mtrader_std,order_ntrader_std,order_all_std,position_ftrader_sum,position_ttrader_sum,position_mtrader_sum,position_ntrader_sum,position_all_sum,position_ftrader_mean,position_ttrader_mean,position_mtrader_mean,position_ntrader_mean,position_all_mean,position_ftrader_median,position_ttrader_median,position_mtrader_median,position_ntrader_median,position_all_median,position_ftrader_std,position_ttrader_std,position_mtrader_std,position_ntrader_std,position_all_std,wealth_ftrader_sum,wealth_ttrader_sum,wealth_mtrader_sum,wealth_ntrader_sum,wealth_all_sum,wealth_ftrader_mean,wealth_ttrader_mean,wealth_mtrader_mean,wealth_ntrader_mean,wealth_all_mean,wealth_ftrader_median,wealth_ttrader_median,wealth_mtrader_median,wealth_ntrader_median,wealth_all_median,wealth_ftrader_std,wealth_ttrader_std,wealth_mtrader_std,wealth_ntrader_std,wealth_all_std,cash_ftrader_sum,cash_ttrader_sum,cash_mtrader_sum,cash_ntrader_sum,cash_all_sum,cash_ftrader_mean,cash_ttrader_mean,cash_mtrader_mean,cash_ntrader_mean,cash_all_mean,cash_ftrader_median,cash_ttrader_median,cash_mtrader_median,cash_ntrader_median,cash_all_median,cash_ftrader_std,cash_ttrader_std,cash_mtrader_std,cash_ntrader_std,cash_all_std,portfolio_ftrader_sum,portfolio_ttrader_sum,portfolio_mtrader_sum,portfolio_ntrader_sum,portfolio_all_sum,portfolio_ftrader_mean,portfolio_ttrader_mean,portfolio_mtrader_mean,portfolio_ntrader_mean,portfolio_all_mean,portfolio_ftrader_median,portfolio_ttrader_median,portfolio_mtrader_median,portfolio_ntrader_median,portfolio_all_median,portfolio_ftrader_std,portfolio_ttrader_std,portfolio_mtrader_std,portfolio_ntrader_std,portfolio_all_std
1,100.0,99.69446498318985,121.69074029978692,0.0,0.0,22.44914392317008,144.139884222957,0.5033463990856962,0.0,0.0,0.36323195301121947,0.08665783520969157,0.0,0.0,0.0,0.0,0.0,0.10635917382063079,0.0,0.0,0.018478212267911027,0.003403705743743847,121.69074029978692,0.0,0.0,22.44914392317008,144.139884222957,-0.5033463990856962,0.0,0.0,0.36323195301121947,-0.014011444607447673,0.0,0.0,0.0,0.0,0.0,0.10635917382063079,0.0,0.0,0.018478212267911027,0.003410430357002624,129047.59250334333,1079913.1593062154,252843.35940341753,124603.4722663842,1586407.5834793611,3226.1898125835837,3856.8327118079146,6321.083985085438,3115.086806659605,3966.018958698403,1784.0772252183037,1712.2669551288643,1567.3331986286714,2015.1320043347764,1730.333486820702,149.09913791878628,29.578825850489856,551.4474299010083,75.25253385560265,25.07177964477878,131060.97809968612,1079913.1593062154,252843.35940341753,123150.54445433935,1586968.0412636593,3276.524452492153,3856.8327118079146,6321.083985085438,3078.763611358483,3967.420103159148,1784.0772252183037,1712.2669551288643,1567.3331986286714,1990.6727348011766,1730.4817671624483,147.5346779449757,29.578825850489856,551.4474299010083,75.78627701962023,25.064193525006107,-2013.3855963427852,0.0,0.0,1452.927812044878,-560.4577842979078,-50.33463990856963,0.0,0.0,36.32319530112195,-1.4011444607447678,0.0,0.0,0.0,0.0,0.0,10.635917382063079,0.0,0.0,1.8478212267911025,0.3410430357002624
2,100.30579828547694,99.21972162403247,121.69074029978692,0.0,0.0,27.54788169426381,149.23862199405073,-0.5033463990856962,0.0,0.0,-0.13384603791044575,-0.0637192436996142,0.0,0.0,0.0,0.0,0.0,0.10635917382063079,0.0,0.0,0.02308153757044277,0.0034237962469222173,129.70673112935933,0.0,0.0,35.212698160384015,164.91942928974336,-1.1534407966909512,0.0,0.0,0.22938591510077372,-0.09240548815901775,0.0,0.0,0.0,0.0,0.0,0.10796349766838753,0.0,0.0,0.030703481490216945,0.003623217388156961,128452.64859917767,1079913.1593062154,252843.35940341753,124607.91529472264,1585817.0826035335,3211.316214979442,3856.8327118079146,6321.083985085438,3115.197882368066,3964.5427065088347,1784.0772252183037,1712.2669551288643,1567.3331986286714,2015.3734834631528,1730.1857970135493,146.71597415421724,29.578825850489856,551.4474299010083,75.2509654608275,25.058304523297874,133080.52059466252,1079913.1593062154,252843.35940341753,123687.56580153758,1589524.6051058332,3327.0130148665644,3856.8327118079146,6321.083985085438,3092.1891450384387,3973.811512764584,1648.7547403587655,1712.2669551288643,1567.3331986286714,2080.8490451224043,1712.2869157881305,146.7251670923297,29.578825850489856,551.4474299010083,76.4464181789299,25.06036677894144,-4627.871995484895,0.0,0.0,920.3494931851097,-3707.522502299782,-115.69679988712237,0.0,0.0,23.00873732962775,-9.268806255749462,0.0,0.0,0.0,0.0,0.0,10.829364819319839,0.0,0.0,3.0797372210195753,0.3634297124809048
3,99.73626408066647,99.20296142412232,26.0037759042102,0.0,0.0,22.749778990240273,48.75355489445046,-0.650094397605255,0.0,0.0,0.12202323292619201,-0.052807116467906305,-0.7805416446343116,0.0,0.0,0.0,0.0,0.02081313830886133,0.0,0.0,0.023194280051997085,0.0010981409989113294,127.02400289792543,0.0,0.0,48.38192520111851,175.40592809904396,-0.7391734019194576,0.0,0.0,0.3514091480269657,-0.03877642538924919,0.0,0.0,0.0,0.09071431379321154,0.0,0.11054613886012062,0.0,0.0,0.0411561821501592,0.0037430894239715816,132725.14431072955,1079913.1593062154,252843.35940341753,124602.6895697326,1590084.3525900953,3318.1286077682403,3856.8327118079146,6321.083985085438,3115.067239243315,3975.2108814752396,1794.343781130865,1712.2669551288643,1567.3331986286714,2015.6197653567579,1735.441595633609,148.56275416448815,29.578825850489856,551.4474299010083,75.25745105237861,25.06707699663094,135674.0400553393,1079913.1593062154,252843.35940341753,123200.76014621342,1591631.3189111867,3391.851001383484,3856.8327118079146,6321.083985085438,3080.019003655335,3979.078297277966,1726.6030479539709,1712.2669551288643,1567.3331986286714,2090.9706349977255,1721.992439996232,147.56544253430414,29.578825850489856,551.4474299010083,76.31068582814008,25.064055333296505,-2948.895744609746,0.0,0.0,1401.9294235191787,-1546.9663210905665,-73.72239361524365,0.0,0.0,35.04823558797947,-3.867415802726418,0.0,0.0,0.0,9.047506756376192,0.0,11.025458898451017,0.0,0.0,4.10476385148029,0.3733217552667794
4,99.59261634218431,99.25706749311264,16.570695790859745,0.0,0.0,20.14529080637381,36.71598659723356,0.4142673947714936,0.0,0.0,0.2223815244335643,0.06366489192050578,0.0,0.0,0.0,0.0,0.0,0.02081994561134912,0.0,0.0,0.018784383892378725,0.000938992102550824,133.17680448971498,0.0,0.0,60.67392485602466,193.8507293457396,-0.8040042283515803,0.0,0.0,0.5737906724605301,-0.023021355589105025,0.0,0.0,0.0,0.7494424647324722,0.0,0.11205153504972884,0.0,0.0,0.04816277624272883,0.0038919998565461085,130820.80572084867,1079913.1593062154,252843.35940341753,124600.67040455676,1588177.9948350396,3270.5201430212173,3856.8327118079146,6321.083985085438,3115.0167601139187,3970.444987087598,1784.0772252183037,1712.2669551288643,1567.3331986286714,2015.752536766126,1734.3957511508193,146.6413491775046,29.578825850489856,551.4474299010083,75.25881760700295,25.056828835723845,134023.7211069172,1079913.1593062154,252843.35940341753,122314.85783243336,1589095.0976489843,3350.5930276729305,3856.8327118079146,6321.083985085438,3057.871445810833,3972.7377441224603,1671.5508385600012,1712.2669551288643,1567.3331986286714,2072.6766317700713,1712.5978936617448,146.55886280986982,29.578825850489856,551.4474299010083,76.77216772510711,25.060785596109426,-3202.915386068516,0.0,0.0,2285.8125721234205,-917.102813945097,-80.07288465171288,0.0,0.0,57.145314303085506,-2.2927570348627375,0.0,0.0,0.0,74.6389358606421,0.0,11.159505540760463,0.0,0.0,4.796656896316561,0.3876144485168329
5,99.3451774563455,99.41067231882566,8.130339666514388,0.0,0.0,26.47054849619518,34.60088816270956,-0.06483082643212264,0.0,0.0,0.12700730186328202,0.006217647543115938,0.0,0.0,0.0,0.0,0.0,0.01539333671485891,0.0,0.0,0.021286673967340682,0.0008288606385980564,132.2004005122976,0.0,0.0,67.00011122634437,199.20051173864186,-0.46006408180407377,0.0,0.0,0.700797974323812,0.024073389251973824,0.0,0.0,0.0,0.8123866881939369,0.0,0.11455403228777594,0.0,0.0,0.05252970796076312,0.00399505459239329,132453.1403912542,1079913.1593062154,252843.35940341753,124594.9912795688,1589804.6503804566,3311.3285097813546,3856.8327118079146,6321.083985085438,3114.87478198922,3974.5116259511415,1785.5314778984634,1712.2669551288643,1567.3331986286714,2015.7874472499984,1735.441595633609,148.2766035390746,29.578825850489856,551.4474299010083,75.2622364316491,25.065551281518793,134281.3463051788,1079913.1593062154,252843.35940341753,121810.155314759,1588848.0203295704,3357.0336576294712,3856.8327118079146,6321.083985085438,3045.2538828689735,3972.1200508239285,1651.9049514639796,1712.2669551288643,1567.3331986286714,2144.6087089091006,1709.7213828893518,147.46239102224803,29.578825850489856,551.4474299010083,76.89865927861649,25.066535580034742,-1828.2059139246544,0.0,0.0,2784.8359648098635,956.6300508852074,-45.705147848116354,0.0,0.0,69.62089912024656,2.3915751272130206,0.0,0.0,0.0,80.70669970179948,0.0,11.380390665969033,0.0,0.0,5.218573159092017,0.3968894074290994
6,100.09337645355767,99.62624860209041,13.75760586190026,0.0,6.576045487891007,22.534240873586203,42.867892223377474,0.3439401465475065,0.0,0.14934557983294997,-0.18823976875507037,0.030504595762538608,0.0,0.0,0.0,0.0,0.0,0.017750784186959377,0.0,0.024862862588818143,0.02255889794736402,0.0012304846098434143,133.44626919887128,0.0,6.576045487891007,71.97485474960186,211.99716943636412,-0.8433202614611286,0.0,0.14934557983294997,0.5125582055687417,-0.018141647605943702,0.0,0.0,0.0,0.437746168356404,0.0,0.11179312006993765,0.0,0.024862862588818143,0.0586031503352872,0.004098659444330368,129527.87018649033,1079913.1593062154,252843.35940341753,124615.96473323433,1586900.353629358,3238.196754662258,3856.8327118079146,6321.083985085438,3115.3991183308576,3967.250884073396,1784.0772252183037,1712.2669551288643,1567.3331986286714,2014.7198069163887,1730.671956662231,146.7496728919946,29.578825850489856,551.4474299010083,75.251150085465,25.05799551773352,132904.30108254397,1079913.1593062154,252245.41926966177,122563.81747626024,1587626.697134681,3322.6075270635997,3856.8327118079146,6306.135481741544,3064.0954369065057,3969.066742836705,1630.0580131732618,1712.2669551288643,1567.3331986286714,2107.803591505845,1712.2669551288643,146.72986023038166,29.578825850489856,551.4673480534464,77.2900646894516,25.063174565663054,-3376.430896053657,0.0,597.9401337557724,2052.1472569740818,-726.3435053238024,-84.41077240134142,0.0,14.948503343894311,51.30368142435205,-1.8158587633095062,0.0,0.0,0.0,43.81549202039998,0.0,11.189750852078042,0.0,2.4886078648156498,5.865787187874336,0.410248662716289
7,99.97705823112369,99.9576662761399,15.330247186282193,0.0,0.7805416446343116,2.2952293674869484,18.40601819840345,-0.38325617965705483,0.0,-0.01951354111585779,-0.0002230807882995345,-0.04029928015612121,0.0,0.0,0.0,0.0,0.0,0.01851881702630965,0.0,0.0030853617570727123,0.0064971353970228515,0.0006840121714259897,131.86085324244178,0.0,0.7805416446343116,71.3684279345587,204.00982282163477,-0.48977446791645746,0.0,-0.01951354111585779,0.5123351247804421,0.00030471157481268274,0.0,0.0,0.0,0.3940270178292536,0.0,0.11410465138614385,0.0,0.0030853617570727123,0.05850897962459166,0.004049269333619918,132478.32567822438,1079913.1593062154,252245.41926966177,124613.57993885966,1589250.4841929611,3311.95814195561,3856.8327118079146,6306.135481741544,3115.339498471492,3973.126210482405,1789.9816937821424,1712.2669551288643,1567.3331986286714,2014.9319829688995,1735.441595633609,148.3336182128231,29.578825850489856,551.4673480534464,75.25328620433538,25.065388365145832,134436.97409818444,1079913.1593062154,252323.45552711922,122564.70959469874,1589238.298526217,3360.924352454611,3856.8327118079146,6308.08638817798,3064.1177398674677,3973.095746315546,1665.01318435683,1712.2669551288643,1567.3331986286714,2107.803591505845,1712.5978936617448,147.49745056937275,29.578825850489856,551.4571614984163,77.28236638178676,25.066846526682724,-1958.6484199600523,0.0,-78.03625745742163,2048.8703441609714,12.18566674349728,-48.9662104990013,0.0,-1.9509064364355406,51.22175860402428,0.030464166858744417,0.0,0.0,0.0,39.3936621061513,0.0,11.407847376074573,0.0,0.3084653920509406,5.84955566297143,0.4048340359608219
8,100.50711699816391,99.57611497459128,14.141831741786845,0.0,0.5712325260325036,23.00717345764025,37.7202377254596,0.35354579354467114,0.0,0.014280813150812591,-0.11349155633625757,0.025433505035922614,0.0,0.0,0.0,0.0,0.0,0.018226086350709384,0.0,0.002257994819792673,0.019155782237229215,0.0008779580764468039,132.98239502676586,0.0,0.5712325260325036,78.74548440321652,212.29911195601483,-1.0172730760006445,0.0,0.014280813150812591,0.39884356844418456,-0.060414869440564734,0.0,0.0,0.0,0.24802170988878436,0.0,0.10999266169192909,0.0,0.002257994819792673,0.06483759973330512,0.004082265479738269,128925.89199799714,1079913.1593062154,252323.45552711922,124624.44264784177,1585786.9494791743,3223.147299949929,3856.8327118079146,6308.08638817798,3115.6110661960442,3964.4673736979357,1784.0772252183037,1712.2669551288643,1567.3331986286714,2013.9651028495514,1730.7320887831506,146.6329613410673,29.578825850489856,551.4571614984163,75.2435945046471,25.057023640351304,133015.6193607443,1079913.1593062154,252266.04259279213,123020.97795993838,1588215.79921969,3325.3904840186083,3856.8327118079146,6306.651064819802,3075.52444899846,3970.5394980492274,1634.1827171509613,1712.2669551288643,1567.3331986286714,2107.803591505845,1712.5978936617448,146.71043146249394,29.578825850489856,551.4592280371015,77.28702554922022,25.062607635117594,-4089.7273627471545,0.0,57.41293432710555,1603.4646879033944,-2428.849740516656,-102.24318406867887,0.0,1.4353233581776388,40.08661719758485,-6.072124351291638,0.0,0.0,0.0,24.927947013876718,0.0,11.055045317610178,0.0,0.22694454953415022,6.516640222275417,0.4102967341896199
9,100.02456814461345,99.27416275289367,21.09994432336748,0.0,0.0,20.735444047569366,41.83538837093685,-0.527498608084187,0.0,0.0,0.33144966526859293,-0.019604894281559405,0.0,0.0,0.0,0.0,0.0,0.021350443771378548,0.0,0.0,0.019225236581179684,0.001023524664088944,132.15950090138574,0.0,0.0,79.84003971135003,211.9995406127357,-0.826196705921253,0.0,0.0,0.7302932337127775,-0.009590347220847553,0.0,0.0,0.0,0.4762089872229192,0.0,0.11093793814784617,0.0,0.0,0.06535114169056835,0.004118900600942022,131820.5334310735,1079913.1593062154,252266.04259279213,124616.74418757384,1588616.479517655,3295.513335776838,3856.8327118079146,6306.651064819802,3115.418604689346,3971.541198794139,1784.0772252183037,1712.2669551288643,1567.3331986286714,2015.1117496941215,1734.8462975990026,148.60495249252568,29.578825850489856,551.4592280371015,75.25218968423333,25.06708463881684,135126.13217956453,1079913.1593062154,252266.04259279213,121694.85357473165,1589000.187653303,3378.1533044891135,3856.8327118079146,6306.651064819802,3042.371339368292,3972.500469133261,1711.195943651569,1712.2669551288643,1567.3331986286714,2122.932400017688,1716.107620227077,147.58538854519745,29.578825850489856,551.4592280371015,76.85005718497092,25.066254042693107,-3305.598748491022,0.0,0.0,2921.8906128421536,-383.7081356488681,-82.63996871227555,0.0,0.0,73.04726532105383,-0.959270339122171,0.0,0.0,0.0,47.63259829355624,0.0,11.09651935409215,0.0,0.0,6.536719725356543,0.4119912538398146
10,99.931989127013,99.34884912951196,7.643054803175659,0.0,0.0,16.93186898580783,24.574923788983494,0.19107637007939146,0.0,0.0,-0.16689605796614224,0.002418031211324924,0.0,0.0,0.0,0.0,0.0,0.01430960564070698,0.0,0.0,0.017911449105333245,0.0007443262112390174,133.33025705283748,0.0,0.0,86.83634606154331,220.1666031143807,-0.8868248162237968,0.0,0.0,0.5633971757466353,-0.03234276404771616,0.0,0.0,0.0,0.5411684721751013,0.0,0.11131833635569606,0.0,0.0,0.07046348141641504,0.004201245330596926,130817.45979437877,1079913.1593062154,252266.04259279213,124614.03979436833,1587610.7014877556,3270.436494859469,3856.8327118079146,6306.651064819802,3115.350994859208,3969.026753719388,1784.0772252183037,1712.2669551288643,1567.3331986286714,2015.3579678150777,1733.9044960933047,146.52582676502655,29.578825850489856,551.4592280371015,75.25342177502428,25.055554500271427,134362.34651007643,1079913.1593062154,252266.04259279213,122361.98377673225,1588903.532185816,3359.0586627519106,3856.8327118079146,6306.651064819802,3059.049594418306,3972.258830464542,1693.1485630008747,1712.2669551288643,1567.3331986286714,2158.3665469590824,1712.2669551288643,146.51057807956138,29.578825850489856,551.4592280371015,77.21686999207552,25.061096295338203,-3544.8867156976708,0.0,0.0,2252.0560176361037,-1292.8306980615675,-88.62216789244177,0.0,0.0,56.30140044090258,-3.2320767451539183,0.0,0.0,0.0,54.08004187728446,0.0,11.124262778334593,0.0,0.0,7.041555858756669,0.4198388026971261
