Price,FundamentalValue,Order,NetFundamentalPosition,NetTechnicalPosition
100.0,99.78616338957403,0.0,-65.76289452925202,0
100.59352303489267,99.65826713654124,-2.2409978301761235,-81.19814521418267,0
100.37432375627667,99.7714892515939,62.928320566114536,-71.20886504884707,0
100.73818590594851,100.08774937085307,-39.79790823179455,-75.25114182168276,0
100.44552882926425,99.94971857649759,-59.58262081762186,-69.71052552202165,0
99.59598865344562,100.16100225334715,11.082258262673106,-50.91271647550444,0
99.81883380110308,100.44383101810388,-7.912756583526808,-50.01296221901549,0
98.78945364625079,100.98617363034435,4.462677218729725,-20.396114963811485,0
99.2792490698396,101.58401264951951,22.064101558434384,-16.037793745785805,0
99.4834928129415,101.95682585793428,6.2938249462637845,-8.4481094219814,0
