step,price,value,order_ftrader_sum,order_ttrader_sum,order_mtrader_sum,order_ntrader_sum,order_all_sum,order_ftrader_mean,order_ttrader_mean,order_mtrader_mean,order_ntrader_mean,order_all_mean,order_ftrader_median,order_ttrader_median,order_mtrader_median,order_ntrader_median,order_all_median,order_ftrader_std,order_ttrader_std,order_mtrader_std,order_ntrader_std,order_all_std,position_ftrader_sum,position_ttrader_sum,position_mtrader_sum,position_ntrader_sum,position_all_sum,position_ftrader_mean,position_ttrader_mean,position_mtrader_mean,position_ntrader_mean,position_all_mean,position_ftrader_median,position_ttrader_median,position_mtrader_median,position_ntrader_median,position_all_median,position_ftrader_std,position_ttrader_std,position_mtrader_std,position_ntrader_std,position_all_std,wealth_ftrader_sum,wealth_ttrader_sum,wealth_mtrader_sum,wealth_ntrader_sum,wealth_all_sum,wealth_ftrader_mean,wealth_ttrader_mean,wealth_mtrader_mean,wealth_ntrader_mean,wealth_all_mean,wealth_ftrader_median,wealth_ttrader_median,wealth_mtrader_median,wealth_ntrader_median,wealth_all_median,wealth_ftrader_std,wealth_ttrader_std,wealth_mtrader_std,wealth_ntrader_std,wealth_all_std,cash_ftrader_sum,cash_ttrader_sum,cash_mtrader_sum,cash_ntrader_sum,cash_all_sum,cash_ftrader_mean,cash_ttrader_mean,cash_mtrader_mean,cash_ntrader_mean,cash_all_mean,cash_ftrader_median,cash_ttrader_median,cash_mtrader_median,cash_ntrader_median,cash_all_median,cash_ftrader_std,cash_ttrader_std,cash_mtrader_std,cash_ntrader_std,cash_all_std,portfolio_ftrader_sum,portfolio_ttrader_sum,portfolio_mtrader_sum,portfolio_ntrader_sum,portfolio_all_sum,portfolio_ftrader_mean,portfolio_ttrader_mean,portfolio_mtrader_mean,portfolio_ntrader_mean,portfolio_all_mean,portfolio_ftrader_median,portfolio_ttrader_median,portfolio_mtrader_median,portfolio_ntrader_median,portfolio_all_median,portfolio_ftrader_std,portfolio_ttrader_std,portfolio_mtrader_std,portfolio_ntrader_std,portfolio_all_std
1,100.0,100.2504671482196,126.99841679561035,0.0,0.0,143.6858705187561,270.68428731436643,-0.13324949146100523,0.0,0.0,-0.10651295347634362,-0.08788401657954106,0.0,0.0,0.0,0.0,0.0,0.11093944717741619,0.0,0.0,0.002906728286845741,0.003864887453811668,126.99841679561035,0.0,0.0,143.6858705187561,270.68428731436643,0.13324949146100523,0.0,0.0,-0.10651295347634362,-0.06123411828734001,0.0,0.0,0.0,0.0,0.0,0.11093944717741619,0.0,0.0,0.002906728286845741,0.0038681073762614534,165926.0882479848,175817.19119833928,153054.00463961333,1247557.3000423897,1742354.5841283265,4148.15220619962,4395.429779958483,3826.3501159903317,4455.56178586568,4355.886460320819,2261.718839619507,1788.4293883908158,1702.7062480383174,1650.4318128417638,1710.6314594717944,157.64864625486985,311.66218330103266,181.52647681102957,78.2881758982644,47.452005728672766,165393.0902821408,175817.19119833928,153054.00463961333,1250539.6627397286,1744803.948859821,4134.82725705352,4395.429779958483,3826.3501159903317,4466.213081213315,4362.009872149553,1854.9716325201312,1788.4293883908158,1702.7062480383174,1707.6825240994506,1734.02199752338,158.72878371462104,311.66218330103266,181.52647681102957,78.28847717323362,47.45583408745772,532.9979658440209,0.0,0.0,-2982.3626973376217,-2449.3647314936006,13.324949146100522,0.0,0.0,-10.651295347634361,-6.123411828734001,0.0,0.0,0.0,0.0,0.0,11.09394471774162,0.0,0.0,0.2906728286845741,0.3868107376261453
2,100.10593027473939,100.37564318768246,126.99841679561035,0.0,0.0,160.99099094175676,287.9894077373671,0.13324949146100523,0.0,0.0,0.048742324537966265,0.04744457632267691,0.0,0.0,0.0,0.0,0.0,0.11093944717741619,0.0,0.0,0.003044724617146096,0.0039004745880978973,131.06721439957676,0.0,0.0,247.4470460297251,378.5142604293019,0.2445923139218973,0.0,0.0,-0.05777062893837735,-0.015980208864674418,0.0,0.0,0.0,0.0,0.0,0.11200143647824752,0.0,0.0,0.004222405458387568,0.004291918910114187,165838.93335501527,175817.19119833928,153054.00463961333,1247554.140817391,1742264.2700103575,4145.973333875382,4395.429779958483,3826.3501159903317,4455.5505029192545,4355.660675025898,1855.9349401108775,1788.4293883908158,1702.7062480383174,1650.4200160524492,1705.120494899411,159.9124433383536,311.66218330103266,181.52647681102957,78.28817615134183,47.45941528780105,164859.5277100872,175817.19119833928,153054.00463961333,1249173.431932073,1742904.1554801133,4121.48819275218,4395.429779958483,3826.3501159903317,4461.333685471688,4357.260388700281,1619.9215389279148,1788.4293883908158,1702.7062480383174,1686.0721860045508,1702.1853449643845,160.5722963953006,311.66218330103266,181.52647681102957,78.28039921427136,47.4573241275837,979.4056449281042,0.0,0.0,-1619.2911146812528,-639.8854697531488,24.48514112320262,0.0,0.0,-5.783182552433045,-1.5997136743828697,0.0,0.0,0.0,0.0,0.0,11.2120079907621,0.0,0.0,0.42268782640902486,0.4296465351607263
3,99.98567708508531,100.18021121285247,4.453712898435683,0.0,0.0,174.91670844582114,179.37042134425687,0.11134282246089207,0.0,0.0,-0.29625161531864996,-0.19624184847696577,0.01924576472345052,0.0,0.0,0.0,0.0,0.01589006043030914,0.0,0.0,0.0030214906250438703,0.0018778251162637671,126.73619318435365,0.0,0.0,329.264679801474,456.0008729858279,0.11752208724734317,0.0,0.0,-0.35402224425702733,-0.23606336225518482,0.0,0.0,0.0,-0.2680187185328348,0.0,0.11080433356985,0.0,0.0,0.005133005797658102,0.0046084083215566715,164884.24122902963,175817.19119833928,153054.00463961333,1247556.0860060633,1741311.5230730458,4122.106030725741,4395.429779958483,3826.3501159903317,4455.5574500216535,4353.278807682613,1854.5275057786662,1788.4293883908158,1702.7062480383174,1650.3410884845953,1704.9444773293146,157.53777116743697,311.66218330103266,181.52647681102957,78.28816544060867,47.45171532785153,164414.22021039456,175817.19119833928,153054.00463961333,1257467.2890687245,1750752.7051170724,4110.355505259863,4395.429779958483,3826.3501159903317,4490.954603816874,4376.881762792679,1618.9593885194668,1788.4293883908158,1702.7062480383174,1713.4340467398358,1716.0682887674998,159.41030919889653,311.66218330103266,181.52647681102957,78.27437700182516,47.4504266976309,470.02101863512314,0.0,0.0,-9911.203062661698,-9441.18204402657,11.750525465878077,0.0,0.0,-35.39715379522033,-23.602955110066425,0.0,0.0,0.0,-26.798033043982393,0.0,11.078846315943101,0.0,0.0,0.5132270601605139,0.46077482631538536
4,100.41295182376054,99.89961043614542,5.082809066982165,0.0,0.0,146.27888810704567,151.36169717402788,-0.12707022667455412,0.0,0.0,-0.07675964294216034,-0.06643877272696765,0.0,0.0,0.0,0.0,0.0,0.015850169481820175,0.0,0.0,0.0028632486583143888,0.0017500922482278525,130.99414669683907,0.0,0.0,379.40134276380513,510.3954894606446,-0.14510814378874742,0.0,0.0,-0.43078188719918764,-0.31605813541830613,0.0,0.0,0.0,-0.34495296219997357,0.0,0.1116458005660674,0.0,0.0,0.005870026497801097,0.004918431508806404,164341.77059030702,175817.19119833928,153054.00463961333,1247513.7318727307,1740726.69830099,4108.544264757675,4395.429779958483,3826.3501159903317,4455.406185259753,4351.816745752476,1856.1096556801303,1788.4293883908158,1702.7062480383174,1650.5802511280071,1704.8184787954415,159.65153501473165,311.66218330103266,181.52647681102957,78.28823157796728,47.45869857775584,164924.6000723668,175817.19119833928,153054.00463961333,1259625.434520777,1753421.2304310966,4123.115001809169,4395.429779958483,3826.3501159903317,4498.662266145634,4383.553076077742,1622.7338503864853,1788.4293883908158,1702.7062480383174,1716.6136018365178,1716.6136018365178,160.59374374431022,311.66218330103266,181.52647681102957,78.24158149609396,47.43582986950289,-582.8294820597926,0.0,0.0,-12111.70264804659,-12694.532130106381,-14.570737051494811,0.0,0.0,-43.25608088588068,-31.736330325265957,0.0,0.0,0.0,-34.637745174849435,0.0,11.210684393565703,0.0,0.0,0.5894266879278993,0.49387422614224336
5,100.26054596843748,100.27435849228635,16.99971278936627,0.0,0.0,129.79485824270736,146.79457103207366,-0.26263023103609057,0.0,0.0,-0.03813273781395534,-0.0529559395733778,0.0,0.0,0.0,0.0,0.0,0.02176632051560096,0.0,0.0,0.002793107082074436,0.0017799247505909709,129.85551056873368,0.0,0.0,428.6121852151966,558.4676957839305,-0.041785569125386245,0.0,0.0,-0.468914625013143,-0.3324187944217387,0.0,0.0,0.0,-0.3486443390124597,0.0,0.1117798898265631,0.0,0.0,0.0066827244595931085,0.005271388691758286,165810.28032746204,175817.19119833928,153054.00463961333,1247532.1149036828,1742213.5910690974,4145.2570081865515,4395.429779958483,3826.3501159903317,4455.471838941729,4355.533977672747,1855.5453140817258,1788.4293883908158,1702.7062480383174,1650.5442448783863,1705.0862153922117,157.90645555988678,311.66218330103266,181.52647681102957,78.2881574312836,47.452840320746354,165977.8580864266,175817.19119833928,153054.00463961333,1260695.9330722773,1755544.9869966567,4149.446452160664,4395.429779958483,3826.3501159903317,4502.485475258132,4388.86246749164,1658.2198432114433,1788.4293883908158,1702.7062480383174,1775.8837740830695,1772.4922751304457,159.69918722841584,311.66218330103266,181.52647681102957,78.25148125235205,47.43842647547521,-167.57775896452443,0.0,0.0,-13163.818168592798,-13331.39592755732,-4.189443974113109,0.0,0.0,-47.01363631640285,-33.32848981889331,0.0,0.0,0.0,-34.955271778194216,0.0,11.207112782303009,0.0,0.0,0.6700136028754363,0.5285123082475333
6,100.36856424371582,100.19954878144691,10.627406534457094,0.0,2.442072257065169,173.24690231908656,186.31638111060883,0.10332257466336117,0.0,-0.012277150696326396,-0.24239062249770763,-0.16056889335169186,0.0,0.0,0.0,0.0,0.0,0.014982949366513478,0.0,0.007044287625457821,0.003028313319099137,0.0018743057818899921,132.71577632357005,0.0,2.442072257065169,483.0112288403504,618.1690774209861,-0.015985921783923374,0.0,-0.012277150696326396,-0.7113052475108507,-0.5007399805056204,0.0,0.0,0.0,-0.7395428806196573,0.0,0.1123547604084103,0.0,0.007044287625457821,0.00734654268670834,0.005614985089217095,165498.86518680697,175817.19119833928,153054.00463961333,1247517.932525951,1741887.9935507113,4137.4716296701745,4395.429779958483,3826.3501159903317,4455.421187592683,4354.7199838767765,1855.9452935050772,1788.4293883908158,1702.7062480383174,1650.5133711110157,1704.836083173338,159.74673558036645,311.66218330103266,181.52647681102957,78.28820002829995,47.45890607340291,165563.04454750955,175817.19119833928,153103.29423914908,1267507.8847268228,1761991.4147118214,4139.076113687739,4395.429779958483,3827.582355978726,4526.813874024368,4404.978536779552,1631.7650025968937,1788.4293883908158,1702.7062480383174,1810.7424011300068,1799.995270856363,160.52396106358302,311.66218330103266,181.50470133449807,78.2481581562506,47.439477982884135,-64.17936070258895,0.0,-49.28959953576066,-19989.95220087181,-20103.42116111016,-1.6044840175647281,0.0,-1.2322399883940165,-71.392686431685,-50.25855290277537,0.0,0.0,0.0,-74.22685712445674,0.0,11.27688598813883,0.0,0.7070250350869757,0.7373619416200866,0.5635679916545925
7,100.47609701668655,100.11424842588714,6.151169504956528,0.0,2.50638056587067,111.35572082132916,120.01327089215634,0.025799647341462874,0.0,-0.04482934431542723,-0.03468722465035775,-0.02618402695264686,0.0,0.0,0.0,0.0,0.0,0.014621709860658938,0.0,0.0061475573162284676,0.0026075942104115987,0.0016057114884570403,128.16003298161002,0.0,2.50638056587067,504.2627473139587,634.9291608614399,-0.16844613103902298,0.0,-0.04482934431542723,-0.7459924721612083,-0.5435222780482909,0.0,0.0,0.0,-0.6640622698890021,0.0,0.11094927289482184,0.0,0.0061475573162284676,0.0077272368588697,0.00575642960427543,164782.362240564,175817.19119833928,153103.29423914908,1247496.5157107573,1741199.3633888103,4119.559056014099,4395.429779958483,3827.582355978726,4455.344698966989,4352.998408472024,1856.3434751684426,1788.4293883908158,1702.7062480383174,1650.4033136290714,1704.5870752065334,157.6251880524956,311.66218330103266,181.50470133449807,78.28824664162477,47.4519608035806,165459.35463273848,175817.19119833928,153283.4653410943,1268483.751072601,1763043.7622447729,4136.483865818462,4395.429779958483,3832.086633527357,4530.299110973577,4407.609405611934,1640.9499238321619,1788.4293883908158,1702.7062480383174,1758.4125846240006,1758.4125846240006,159.5228912547555,311.66218330103266,181.4907097375181,78.26915247341833,47.448005008828616,-676.992392174495,0.0,-180.1711019452525,-20987.235361844476,-21844.398855964217,-16.924809804362376,0.0,-4.504277548631312,-74.95441200658742,-54.61099713991056,0.0,0.0,0.0,-66.72238505448846,0.0,11.147749907310951,0.0,0.6176825653210127,0.7764026003027082,0.5783835793889047
8,100.4484599740384,100.43761318042007,6.098408370203984,0.0,20.115268836029518,194.97473414333697,221.1884113495705,-0.1524602092550996,0.0,0.23291366372053818,0.14284101671807622,0.10803405714919723,0.0,0.0,0.0,0.0,0.0,0.014126866653878814,0.0,0.033596486450846764,0.003321810130609172,0.002268036004922174,133.6647883354736,0.0,20.115268836029518,539.6625872963143,693.4426444678173,0.039373112243782774,0.0,0.23291366372053818,-0.6031514554431321,-0.3949773412137604,0.0,0.0,0.0,-0.4445556554878129,0.0,0.11280967916930544,0.0,0.033596486450846764,0.00852403927295339,0.006252250615754293,166230.12910138912,175817.19119833928,153283.4653410943,1247502.2884779721,1742833.0741187949,4155.753227534729,4395.429779958483,3832.086633527357,4455.365315992757,4357.082685296987,1856.2411383337444,1788.4293883908158,1702.7062480383174,1650.4002124062572,1704.6510728475148,159.92680585684315,311.66218330103266,181.4907097375181,78.28824033154591,47.45929700720987,166071.9303618183,175817.19119833928,152347.63258798872,1264466.2662304745,1758703.020378621,4151.798259045456,4395.429779958483,3808.690814699718,4515.95095082312,4396.75755094655,1650.6348192285936,1788.4293883908158,1700.7672509204654,1776.604201708441,1769.3149146866185,160.61022296413626,311.66218330103266,181.65224459012887,78.2767129379521,47.456434375553705,158.1987395709176,0.0,935.8327531055648,-16963.977752501487,-15869.946259825007,3.9549684892729373,0.0,23.395818827639122,-60.585634830362466,-39.67486564956252,0.0,0.0,0.0,-44.654930966499975,0.0,11.33155854272209,0.0,3.3747153245262047,0.8562266177263899,0.628028945724252
9,99.85862413618977,100.06919120278548,8.31276973131223,0.0,7.625858381742865,130.93189609772625,146.87052421078138,0.20781924328280574,0.0,-0.13293914253968978,-0.04915152731617035,-0.026918059047007645,0.0,0.0,0.0,0.0,0.0,0.01494363003709857,0.0,0.018649938315564434,0.002649538864639803,0.0017342815074955615,131.0221112685856,0.0,7.625858381742865,560.5048162541665,699.1527859044952,0.017588957614389146,0.0,-0.13293914253968978,-0.6523029827593025,-0.4681471064240418,0.0,0.0,0.0,-0.46877702975322166,0.0,0.11241663879149293,0.0,0.018649938315564434,0.008850108673303811,0.006327174537466732,165312.08497798297,175817.19119833928,152347.63258798872,1247601.9013743124,1741078.8101386244,4132.802124449574,4395.429779958483,3808.690814699718,4455.721076336828,4352.697025346557,1854.057043117571,1788.4293883908158,1700.7672509204654,1650.2773652523176,1703.3604925954655,157.7048522949396,311.66218330103266,181.65224459012887,78.2881453147226,47.45281141010698,165241.82861368847,175817.19119833928,152878.63738270305,1265840.5633202298,1759778.2205149604,4131.045715342211,4395.429779958483,3821.9659345675764,4520.859154715105,4399.445551287401,1633.1095409606774,1788.4293883908158,1700.7672509204654,1782.098074110822,1773.2233214910348,159.44522060815,311.66218330103266,181.58233442667952,78.27361205660975,47.45060293998936,70.25636429450617,0.0,-531.0047947143295,-18238.661945917476,-18699.4103763373,1.75640910736266,0.0,-13.275119867858237,-65.13807837827666,-46.74852594084322,0.0,0.0,0.0,-46.81142921780641,0.0,11.225770879733503,0.0,1.862357180417073,0.8837596755718784,0.6318229439809607
10,100.02247040061067,100.17096299909969,6.628126550740475,0.0,17.36916447573224,133.5079683054928,157.50525933196545,-0.021784154629393628,0.0,-0.17581093388013525,0.18868732973775135,0.11232162196547306,0.0,0.0,0.0,0.0,0.0,0.015337511162165368,0.0,0.028627700982918884,0.0026209569897292354,0.0018658616840530559,134.62082468811764,0.0,17.36916447573224,584.9517323639392,736.9417215277889,0.09514189948135225,0.0,-0.17581093388013525,-0.4636156530215511,-0.3325978605549641,0.0,0.0,0.0,-0.4128849223195934,0.0,0.11329868201726809,0.0,0.028627700982918884,0.009414189995736653,0.0066324311229908105,165709.6379251425,175817.19119833928,152878.63738270305,1247571.9757003537,1741977.4422065367,4142.740948128563,4395.429779958483,3821.9659345675764,4455.614198929833,4354.943605516345,1854.6637472534453,1788.4293883908158,1700.7672509204654,1650.4080194088228,1703.3604925954655,159.86921362385277,311.66218330103266,181.58233442667952,78.28817735636676,47.45952280970281,165328.98481215327,175817.19119833928,153582.03913990824,1260556.130921204,1755284.3460716042,4133.224620303832,4395.429779958483,3839.5509784977057,4501.986181861441,4388.21086517901,1622.036360320906,1788.4293883908158,1721.3407075518912,1773.7949806011989,1773.2233214910348,160.4738003928772,311.66218330103266,182.02537935123254,78.27534867893722,47.4562891448243,380.6531129892577,0.0,-703.401757205182,-12984.155220850205,-13306.903865066126,9.516327824731434,0.0,-17.58504393012955,-46.37198293160789,-33.26725966266533,0.0,0.0,0.0,-41.297769921569966,0.0,11.3324140685004,0.0,2.8634133742015373,0.9416305401942944,0.6633921456834373
